,id,seller,area_total,area_kitchen,area_living,floor,rooms,layout,ceiling,bathrooms_shared,bathrooms_private,windows_court,windows_street,balconies,loggias,condition,phones,building_id,new,latitude,longitude,district,street,address,constructed,material,stories,elevator_without,elevator_passenger,elevator_service,parking,garbage_chute,heating,distance_from_center,angle,average_room_size
22042,22050,4,52.0,9.5,31.0,5,2,3,2.64,0,1,2,2,1,0,1,1,5577,0,55.541504,37.575441,6,Старонародная улица,2,1998,3,14,False,True,False,3,True,0,0.19315891995225726,-3.119994160325951,26.0
16475,16481,4,140.0,10.7,30.9,2,3,3,2.8,0,0,2,2,0,0,3,1,3372,0,55.696534,37.499408,7,Мичуринский проспект,29,1996,2,19,True,True,True,0,True,0,0.08878717038265921,-2.0141090978045546,46.666666666666664
10839,10843,3,66.3,11.6,27.7,20,2,3,2.65,0,2,0,1,0,0,4,1,8281,1,55.617017,37.413718,11,Саларьево Парк ЖК,23,2021,3,24,False,True,True,1,False,4,0.20334942381514928,-2.1874631775168227,33.15
22106,22114,4,71.7,8.0,48.0,3,3,1,2.8,1,0,1,0,1,0,3,1,4335,0,55.679925,37.598573,6,Нагорная улица,24К10,1960,0,5,True,False,False,3,False,0,0.05788614609500584,2.8078873998291423,23.900000000000002
15472,15477,4,164.0,18.0,105.0,3,1,3,3.6,2,0,1,1,0,0,1,2,4800,0,55.750368,37.58526,0,Малый Каковинский переулок,4С1,1917,0,5,False,True,False,3,False,4,0.016731993113278817,0.3442810721168531,164.0
15651,15656,4,66.0,10.0,45.0,4,3,3,2.9,1,0,1,0,0,1,2,2,4572,0,55.84073000000001,37.494404,1,Кронштадтский бульвар,6к4,2015,2,25,True,True,True,0,False,0,0.13608928334529488,-0.6765708309209716,22.0
11357,11361,3,70.68,21.1,34.6,2,2,3,3.0,0,2,0,1,0,0,4,1,4035,1,55.85718000000001,37.627687,2,Сельскохозяйственная улица,вл35,2020,2,11,False,True,True,1,False,0,0.1316534181288076,0.37380320163730335,35.34
21620,21628,3,37.7,10.7,35.2,18,1,3,2.8,0,0,1,0,0,1,4,1,5121,1,55.784303,37.562775,1,Ленинградский проспект,29к3,2019,2,19,True,True,True,0,True,0,0.052460630090968983,-0.32673999194173436,37.7
16312,16318,4,70.0,10.7,30.9,15,3,3,2.8,0,1,2,2,0,1,3,1,5225,0,55.67694,37.539266,6,улица Гарибальди,11,2006,4,17,False,True,True,1,True,0,0.07038881990988176,-2.531191294375089,23.333333333333332
4857,4860,1,54.6,10.7,30.9,2,2,3,2.8,0,0,2,2,0,0,4,1,2838,0,55.53175400000001,37.520527,6,Чечерский проезд,88,1996,3,13,True,True,True,3,False,0,0.21129330102656238,-2.858175699851915,27.3
