id,seller,price,area_total,area_kitchen,area_living,floor,rooms,ceiling,bathrooms_shared,bathrooms_private,windows_court,windows_street,balconies,loggias,condition,phones,building_id,new,latitude,longitude,district,constructed,material,stories,elevator_without,elevator_passenger,elevator_service,parking,garbage_chute,heating,distance_from_center,angle,average_room_size,bathroom_amount,relative_floor,subway_distance,cluster
2861,3,7662330.0,35.1,17.0,10.1,1,1,2.65,1,0,1,0,0,0,4,1,759,1,55.662065000000005,37.423464,7,2020,3,14,False,True,True,1,False,4,0.17224132505187428,-2.0065383154395993,35.1,1,0.07142857142857142,0.006768819764186467,3
16494,4,199000000.0,431.6,19.0,210.0,1,6,3.0,0,4,1,1,1,0,2,2,4662,0,55.82779300000001,37.468677,8,2013,2,2,False,True,False,0,True,0,0.14477721253567272,-0.8729636108711665,71.93333333333334,4,0.5,0.01973119808831442,9
14076,3,19010880.0,94.3,32.2,42.7,5,3,2.85,2,0,1,1,0,0,4,1,2679,1,55.751725,37.707009,4,2020,2,12,False,True,True,1,False,4,0.12852232814219472,1.4384500897428336,31.433333333333334,2,0.4166666666666667,0.012109826836084607,0
2089,3,39600018.0,136.39,10.7,30.9,17,4,2.8,0,0,2,2,0,0,4,1,905,1,55.847649,37.631469,2,2019,7,22,False,True,True,0,False,4,0.1242258188789106,0.43064025598255185,34.0975,0,0.7727272727272727,0.0073633933753362,1
4632,1,31366030.0,126.5,17.4,73.5,4,3,2.8,0,0,2,2,0,0,4,0,2434,1,55.662136,37.512559,6,2019,7,17,False,True,True,0,False,4,0.098847925602124,-2.396104104040216,42.166666666666664,0,0.23529411764705882,0.016338352946372012,2
9281,1,8100000.0,32.0,6.0,18.0,3,1,2.8,1,0,2,2,1,0,4,1,532,0,55.687918,37.599956,6,1968,0,11,False,True,False,1,True,0,0.051074379517593686,2.7318770453200427,32.0,1,0.2727272727272727,0.005456799428232347,2
10148,0,5900000.0,32.0,6.0,18.0,5,1,2.64,1,0,1,0,1,0,1,1,4626,0,55.715783,37.774796,4,1963,3,5,True,False,False,1,False,0,0.19610625622045966,1.6677434240865883,32.0,1,1.0,0.007456588026703872,0
15884,1,6100000.0,33.0,6.0,18.0,4,1,2.65,0,0,1,0,0,0,4,2,2362,0,55.81284300000001,37.795178,3,1961,0,5,True,False,False,3,False,0,0.2292715706827128,1.2232973012738761,33.0,0,0.8,0.004854310764679353,0
16391,1,7400000.0,63.0,9.0,34.0,8,2,2.75,0,1,1,1,0,1,1,1,3667,0,55.516879,37.349524,11,2013,4,12,False,True,True,1,True,0,0.31688203397768666,-2.3289664554435734,31.5,1,0.6666666666666666,0.10255057882332581,3
15672,4,25593200.0,58.7,12.4,28.9,5,2,3.3,1,0,1,0,0,0,3,1,3265,1,55.77468399999999,37.674067,0,2015,2,9,True,True,True,3,True,4,0.10254523522515135,1.1709462466297191,29.35,1,0.5555555555555556,0.006746550600116621,0
10076,1,7700000.0,44.1,6.0,29.0,2,2,2.8,1,0,1,0,1,0,1,1,3024,0,55.66686800000001,37.619647,5,1962,0,5,True,False,False,3,False,0,0.0788221954022278,2.6088090424608525,22.05,1,0.4,0.010775436557280825,4
18795,4,34007000.0,109.7,15.7,66.8,25,4,3.0,0,0,2,2,0,0,4,1,3382,1,55.799193,37.565147,1,2021,7,25,False,True,False,0,False,4,0.06603136830428366,-0.22083182078547461,27.425,0,1.0,0.010927518382509525,1
17116,4,153581999.0,220.0,10.0,190.0,46,3,2.8,2,1,0,1,0,0,3,2,9625,0,55.747115,37.539078,0,2009,0,73,True,True,True,0,True,0,0.042372277837411466,-1.2750433065441134,73.33333333333333,3,0.6301369863013698,0.003533059439065581,2
4235,1,6550000.0,42.7,6.0,27.5,2,2,2.8,0,1,1,0,1,0,4,1,5460,0,55.746203,37.702445,4,1972,3,9,False,True,False,1,True,0,0.1233657747486095,1.4779481646040469,21.35,1,0.2222222222222222,0.017770532743843267,0
7291,4,11300000.0,57.0,6.0,41.0,2,3,2.64,1,0,1,0,0,0,1,2,3758,0,55.814694,37.620851,2,1966,0,9,False,True,False,3,True,0,0.08994103307798422,0.47633709860905826,19.0,1,0.2222222222222222,0.009331968549023907,1
20967,1,6400000.0,43.2,21.5,14.1,1,1,2.8,1,0,1,0,1,0,1,1,1328,0,55.515579,37.372566,11,2014,4,3,True,False,False,1,False,0,0.301512919237613,-2.384672689035668,43.2,1,0.3333333333333333,0.09269641415394385,3
12572,3,9241199.0,45.6,6.6,28.6,13,2,2.8,0,2,0,1,0,0,4,1,4108,1,55.839957,37.49524,1,2021,7,24,True,True,True,1,False,4,0.13484702435538978,-0.6759982933957143,22.8,2,0.5416666666666666,0.008541443027970217,9
11826,2,11600000.0,60.3,7.5,37.9,5,2,3.0,0,1,0,1,0,0,0,1,8001,0,55.721503000000006,37.672334,4,1958,0,8,False,True,False,1,True,0,0.09366703951792707,1.7128621087546492,30.15,1,0.625,0.0046762126769469186,4
22745,1,5200000.0,62.0,6.0,42.0,3,3,2.8,0,1,1,0,1,0,1,1,7145,0,55.432301,37.365631,10,1970,7,5,True,False,False,3,False,0,0.3705021449820654,-2.525881250883517,20.666666666666668,1,0.6,0.16410287493520712,3
4809,1,7990000.0,35.0,10.0,20.0,5,1,2.8,1,0,1,0,0,0,4,1,6017,0,55.685513,37.588359,6,1974,4,12,False,True,True,3,True,0,0.050023097535373026,2.965801401259096,35.0,1,0.4166666666666667,0.015216979003725003,2
18790,4,11800000.0,51.0,8.5,30.0,2,2,2.8,0,1,0,1,0,0,1,1,3885,0,55.775854,37.531693,1,1988,3,17,False,True,False,3,False,0,0.06312201334194147,-0.8619702847292704,25.5,1,0.11764705882352941,0.011033628822829742,2
20921,3,6377210.0,39.1,11.9,17.8,1,1,2.66,1,0,1,0,0,0,4,1,7550,1,55.967224,37.153835,9,2020,3,17,False,True,True,1,False,4,0.4850999586463251,-1.0710558102059815,39.1,1,0.058823529411764705,0.22919522901011685,6
1937,3,11277140.0,73.9,12.5,43.7,2,3,2.65,2,0,1,1,0,0,4,1,9704,1,55.882151,37.638108,2,2021,2,33,False,True,True,1,True,0,0.15857026965339976,0.37783089910243717,24.633333333333336,2,0.06060606060606061,0.023735232566792844,1
13637,4,6100000.0,44.0,15.0,15.0,1,1,2.8,1,0,1,0,0,0,2,2,5887,0,55.518601,37.394314,11,2015,2,3,True,False,False,1,False,2,0.28471349711351424,-2.4329316389466715,44.0,1,0.3333333333333333,0.07828645474793136,3
17914,3,8653640.0,89.95,13.5,54.7,13,4,2.8,1,1,1,1,0,0,4,1,1281,1,55.774897,37.625046000000005,0,2021,2,14,False,True,True,1,False,0,0.060621282886874225,0.8473002553701641,22.4875,2,0.9285714285714286,0.007037593693868065,1
13145,4,105000000.0,164.0,10.7,120.0,9,1,2.8,0,0,2,2,0,0,0,1,3880,0,55.761538,37.554214,0,2016,2,18,True,True,True,0,False,4,0.03690219355539184,-0.7590241383833853,164.0,0,0.5,0.007886497321371987,2
6993,3,12214600.0,38.9,14.9,11.7,14,1,3.1,1,0,1,0,0,1,4,1,5839,1,55.790671,37.550136,1,2019,2,15,False,True,True,3,True,4,0.06319979686754044,-0.4851846660370829,38.9,1,0.9333333333333333,0.007054922891141153,1
