,price
22042,7820000.0
16475,45710550.0
10839,7982520.0
22106,18500000.0
15472,44950000.0
15651,15950000.0
11357,14878140.0
21620,11530469.0
16312,24300000.0
4857,8500000.0
17221,42000000.0
19928,5940000.0
20579,17000000.0
20082,9000000.0
2906,9700000.0
12327,7550000.0
17714,7100000.0
4025,7900000.0
15228,12950000.0
18677,5600000.0
6324,7482146.0
3806,6850000.0
13141,4869900.0
9975,7100000.0
2090,34010026.0
11880,10975440.0
16313,25063400.0
20043,45000000.0
16048,7488000.0
1923,10286430.0
11325,7500000.0
12284,85000000.0
1116,24500000.0
732,12900000.0
5160,8674450.0
2785,99049120.0
22004,10700000.0
11125,154499999.0
19578,8350000.0
8706,8100000.0
689,9855820.0
18304,86000000.0
22390,4428866.0
12503,7000000.0
3481,146871273.0
14141,11100000.0
14455,12000000.0
3495,167000000.0
22730,9800000.0
17759,7750000.0
4519,7999999.0
2466,185717100.0
22899,6190000.0
2197,6500000.0
3613,8200000.0
9532,7790000.0
18510,7378803.0
18147,6113250.0
3702,7700000.0
18532,11300000.0
23129,8579747.0
17262,7000000.0
10639,9308000.0
15459,70700000.0
1219,9883541.0
884,7990000.0
19324,14394600.0
22559,15999600.0
9413,56600000.0
4752,6679999.0
16423,68000000.0
11834,9500000.0
9116,15782400.0
22315,4792600.0
10233,30886050.0
16146,6000000.0
10485,11500000.0
22442,14519000.0
7815,67700000.0
21465,8800000.0
22975,10500000.0
18820,25000000.0
22249,9687593.0
21593,10500000.0
16414,40000000.0
19963,12200000.0
13694,24150000.0
4382,19950000.0
15231,14300000.0
6981,9922036.0
11652,9990000.0
17856,6500000.0
4965,10500000.0
17509,27900000.0
11784,7600000.0
10074,14000000.0
4073,8700000.0
21044,7100000.0
870,96391799.0
22986,14450000.0
12036,10515024.0
22048,27000000.0
22283,7739500.0
21703,9700000.0
2748,64999000.0
23076,142000000.0
3517,200606000.0
3322,58834609.0
9961,6249725.0
20985,10490000.0
6501,9700000.0
3312,55468000.0
5933,16676576.0
4672,57000000.0
2511,20000000.0
14149,18306918.0
19331,15569949.0
14743,10800000.0
960,6990000.0
7725,10999999.0
18907,6412842.0
17403,78000000.0
4109,9300000.0
12517,8900000.0
12728,12750000.0
17697,9900000.0
22634,7100000.0
3777,19074111.0
18541,7758274.0
2429,54000000.0
18113,5086620.0
11168,8944320.0
11062,7800000.0
15758,18500000.0
535,105000000.0
7733,13616000.0
8237,5900000.0
15409,128653000.0
5919,14935000.0
1963,12000000.0
15350,8600000.0
3023,16000000.0
17034,8500000.0
18276,10200000.0
17941,6900000.0
17063,6599999.0
7023,13490000.0
1916,10106850.0
20219,5910980.0
13099,8350000.0
10602,33959997.0
10172,5800000.0
3302,51900000.0
10942,10081992.0
21903,7974780.0
21581,12500000.0
9932,6149000.0
21767,8550000.0
3502,278575650.0
22566,21032000.0
22496,28200000.0
8686,7700000.0
22887,55000000.0
18750,8400000.0
15968,13300000.0
3914,6600000.0
12191,7500000.0
22093,12088800.0
19943,35900000.0
19482,17040000.0
19914,6930000.0
18166,7346130.0
696,10200000.0
1033,8300000.0
3008,13250000.0
8367,12888603.0
2305,9100000.0
5592,6466790.0
10801,7435600.0
17173,7300000.0
4788,7300000.0
20844,13000000.0
12490,464292750.0
1355,7112926.0
15272,12472080.0
1060,8750000.0
17855,6090000.0
2325,3500000.0
1729,6194127.0
15905,9492300.0
15674,19200000.0
9770,6800000.0
19514,18000000.0
4618,22549964.0
20337,59716800.0
8789,9990000.0
11263,6800000.0
10845,9381450.0
267,7209909.0
8832,4150000.0
16897,38000000.0
10206,6200000.0
16938,7904000.0
20919,7700480.0
5370,5699000.0
12086,7000000.0
6516,14500000.0
20811,7170000.0
23250,92284827.0
10195,6150000.0
5743,6606344.0
11852,12328300.0
14602,14938560.0
2054,20037282.0
7930,10798270.0
15120,23563521.0
2897,9256000.0
14087,5128000.0
1624,22990000.0
10346,9518760.0
15600,16745000.0
10846,9800000.0
3928,6900000.0
17336,5600000.0
7878,47900000.0
3414,101495352.0
6921,84950000.0
22951,13000000.0
1545,15900000.0
19142,76700000.0
11454,6700000.0
4939,10100000.0
13895,6100000.0
9788,7050000.0
3672,18000000.0
12483,7827180.0
19214,8895840.0
5022,7200000.0
10069,13908536.0
13851,8700000.0
5939,17716500.0
8860,6650000.0
14504,12550000.0
19699,8505270.0
17406,184298399.0
22424,9700000.0
18879,139000000.0
12033,9639000.0
2926,10523520.0
20284,7955190.0
18409,8839640.0
7844,250755690.0
20773,11879541.0
8509,5500000.0
19072,123903000.0
23234,53000000.0
16060,14045600.0
17372,77748000.0
22653,13737594.0
7558,8900000.0
14334,6370000.0
9538,9273007.0
8488,7078000.0
21790,17600000.0
9936,9491114.0
4631,27500000.0
21846,8700000.0
7178,7803000.0
17559,41500000.0
10211,6300000.0
18174,8100000.0
22168,95000000.0
17474,14382400.0
11957,35000000.0
17395,43500000.0
5687,8000000.0
10025,10149840.0
2681,38700000.0
13993,7200000.0
18630,54999999.0
1860,8133020.0
1196,7350080.0
21228,172000000.0
11703,24958500.0
23275,29999000.0
22889,11088700.0
20350,4900000.0
21189,45000000.0
7944,12100000.0
7706,71000000.0
11923,16248600.0
534,100000000.0
7279,8957096.0
14406,6800000.0
14283,8355800.0
14483,7800000.0
12447,9723452.0
20012,36000000.0
14895,8693160.0
7244,6799950.0
1975,13106360.0
5254,35000000.0
18636,86197160.0
8782,9800000.0
17946,32709600.0
9901,14916850.0
4839,8300000.0
10049,11803945.0
9354,9300000.0
18697,13850000.0
21256,10600000.0
18725,5800000.0
15519,85000000.0
4197,5500000.0
9301,7750000.0
3497,167145390.0
4014,7850000.0
9535,8400000.0
18525,11560738.0
11714,9200000.0
10149,4500000.0
5776,7900000.0
20935,19900000.0
6582,6950000.0
9159,11976840.0
888,10500000.0
15749,120000000.0
628,81500000.0
12796,8900000.0
389,9133623.0
14397,5900000.0
21225,25437594.0
7608,71900000.0
1816,5800000.0
22359,6943777.0
20319,7600000.0
13036,8150000.0
9670,12900000.0
13281,8710000.0
4489,51000000.0
708,10848504.0
6280,6697302.0
14983,74754288.0
11286,8288150.0
12487,14886472.0
19040,11500000.0
1335,30847804.0
15320,5990000.0
13974,11849120.0
9614,15797145.0
2265,5100000.0
6475,6000000.0
20051,6035600.0
2136,11500000.0
11837,6800000.0
10591,17721000.0
13762,6699000.0
15355,9100000.0
10288,136192540.0
15102,8150000.0
2550,7303596.0
16295,32500000.0
7217,52000000.0
16085,7000000.0
17904,12089960.0
8971,19225000.0
13241,14990000.0
13665,8350000.0
21105,10208400.0
7886,6500000.0
11460,8106780.0
22347,6354650.0
17030,8194560.0
11352,27135000.0
22715,17500000.0
7793,40733901.0
6529,19305045.0
4498,26450000.0
3511,179199853.0
11323,6200000.0
6787,23036993.0
6384,9008684.0
21668,30446529.0
8788,10000000.0
3987,7500000.0
2175,6200000.0
3444,110000000.0
5454,6900000.0
4786,7300000.0
17456,6586282.0
11595,8777032.0
12192,8381132.0
574,14500000.0
5491,7300000.0
17405,153581999.0
14796,94290000.0
8164,99990000.0
21532,13500000.0
6989,10337344.0
9388,10300000.0
9892,10554400.0
1498,13675295.0
14634,119270000.0
13491,6656600.0
19733,31765016.0
20673,11134824.0
11967,22358400.0
18229,18869728.0
16555,12500000.0
1341,6296325.0
22355,6703024.0
3472,133902029.0
21108,6950000.0
6212,5337847.0
22780,5500000.0
4392,32500000.0
17529,377420422.0
4615,22295516.0
2395,46500000.0
2624,22761984.0
9314,8250000.0
3665,6100000.0
8479,16900000.0
22253,7400000.0
22385,8100000.0
4641,31000000.0
11220,12581481.0
13522,6800000.0
14079,8900000.0
4570,15300000.0
985,7450000.0
1646,25917404.0
15489,19500000.0
17612,34608490.0
4472,47800000.0
21180,18300000.0
9479,18290426.0
9183,33490000.0
19472,8000000.0
9866,6800000.0
11015,15982082.0
19420,4999000.0
14179,5700000.0
2724,54300000.0
16315,8600000.0
6848,10444000.0
16432,8800000.0
7654,28287385.0
20639,33060000.0
15116,13700000.0
5032,8625000.0
240,6900000.0
13229,10409000.0
11425,6000000.0
3309,54950000.0
13304,15600000.0
9792,7100000.0
12627,14900000.0
5873,12328264.0
3805,6699000.0
4841,8300000.0
8018,79900000.0
16063,17650100.0
20938,5340720.0
15327,11990000.0
3933,6900000.0
